Experiment,EER,Cllr,ALID,PDR,NDR,LID+,LID-,LID_max
plain,0.00,0.01,4.85,1.00,0.00,4.85,,4.86
26B3,0.19,0.59,1.94,0.84,0.16,2.55,-1.31,4.74
26B4,0.19,0.61,1.86,0.85,0.15,2.42,-1.37,4.72
B3,0.24,0.72,1.41,0.84,0.16,1.94,-1.30,4.54
26B5,0.25,0.73,1.28,0.81,0.19,1.86,-1.11,4.33
26T12-5,0.27,0.75,1.13,0.79,0.21,1.69,-0.96,4.17
B4,0.27,0.76,1.80,0.88,0.12,2.21,-1.17,4.75
B5,0.28,0.78,1.11,0.79,0.21,1.67,-1.04,3.98
26T25-1,0.29,0.80,0.92,0.79,0.21,1.40,-0.84,3.85
26T10-2,0.33,0.84,0.65,0.70,0.30,1.29,-0.81,3.53
26T8-5,0.34,0.78,1.24,0.77,0.23,2.01,-1.38,4.35
T10-2,0.37,0.92,0.40,0.76,0.24,0.84,-0.98,2.60
T8-5,0.45,0.98,0.10,0.66,0.34,0.35,-0.38,1.18
T12-5,0.47,0.99,0.04,0.63,0.37,0.26,-0.33,1.06
T25-1,0.48,0.99,0.04,0.64,0.36,0.20,-0.25,0.83
random,0.50,1.00,0.00,0.50,0.50,0.03,-0.03,0.12
